,fixture_id,fixture_date,fixture_timestamp,league_id,league_name,league_country,league_season,league_round,teams_home_id,teams_home_name,teams_away_id,teams_away_name
50,27569,2018-09-16 18:00:00+00:00,1537120800,141,Segunda Division,Spain,2018,5,715,Granada CF,861,Rayo Majadahonda
51,27570,2018-09-16 14:00:00+00:00,1537106400,141,Segunda Division,Spain,2018,5,716,Lugo,718,Oviedo
52,27571,2018-09-15 16:00:00+00:00,1537027200,141,Segunda Division,Spain,2018,5,535,Malaga,713,Cordoba
53,27572,2018-09-16 18:30:00+00:00,1537122600,141,Segunda Division,Spain,2018,5,731,Sporting Gijon,717,Numancia
54,27573,2018-09-15 16:00:00+00:00,1537027200,141,Segunda Division,Spain,2018,5,719,Tenerife,729,Reus
55,27574,2018-09-23 18:00:00+00:00,1537725600,141,Segunda Division,Spain,2018,6,724,Cadiz,711,Alcorcon
56,27575,2018-09-22 18:30:00+00:00,1537641000,141,Segunda Division,Spain,2018,6,713,Cordoba,719,Tenerife
57,27576,2018-09-24 19:00:00+00:00,1537815600,141,Segunda Division,Spain,2018,6,544,Deportivo La Coruna,715,Granada CF
58,27577,2018-09-23 16:00:00+00:00,1537718400,141,Segunda Division,Spain,2018,6,534,Las Palmas,535,Malaga
59,27578,2018-09-23 10:00:00+00:00,1537696800,141,Segunda Division,Spain,2018,6,798,Mallorca,722,Albacete
60,27579,2018-09-23 16:00:00+00:00,1537718400,141,Segunda Division,Spain,2018,6,717,Numancia,723,Almeria
61,27580,2018-09-22 14:00:00+00:00,1537624800,141,Segunda Division,Spain,2018,6,727,Osasuna,731,Sporting Gijon
62,27581,2018-09-23 14:00:00+00:00,1537711200,141,Segunda Division,Spain,2018,6,718,Oviedo,797,Elche
63,27582,2018-09-22 16:00:00+00:00,1537632000,141,Segunda Division,Spain,2018,6,861,Rayo Majadahonda,860,Extremadura
64,27583,2018-09-23 16:00:00+00:00,1537718400,141,Segunda Division,Spain,2018,6,729,Reus,714,Gimnastic
65,27584,2018-09-22 16:00:00+00:00,1537632000,141,Segunda Division,Spain,2018,6,732,Zaragoza,716,Lugo
66,27585,2018-09-28 19:00:00+00:00,1538161200,141,Segunda Division,Spain,2018,7,722,Albacete,732,Zaragoza
67,27586,2018-09-30 10:00:00+00:00,1538301600,141,Segunda Division,Spain,2018,7,711,Alcorcon,718,Oviedo
68,27587,2018-09-30 16:00:00+00:00,1538323200,141,Segunda Division,Spain,2018,7,723,Almeria,729,Reus
69,27588,2018-09-30 18:00:00+00:00,1538330400,141,Segunda Division,Spain,2018,7,860,Extremadura,797,Elche
70,27589,2018-09-30 18:30:00+00:00,1538332200,141,Segunda Division,Spain,2018,7,714,Gimnastic,544,Deportivo La Coruna
71,27590,2018-09-29 16:00:00+00:00,1538236800,141,Segunda Division,Spain,2018,7,715,Granada CF,713,Cordoba
72,27591,2018-09-29 14:00:00+00:00,1538229600,141,Segunda Division,Spain,2018,7,716,Lugo,798,Mallorca
73,27592,2018-09-30 14:00:00+00:00,1538316000,141,Segunda Division,Spain,2018,7,535,Malaga,861,Rayo Majadahonda
